Voltage,Current,Temperature,SOC,Health
11.83,1.1,40.7,53,Needs Attention
12.3,0.96,42.6,39,Critical
11.22,-1.16,24.9,69,Critical
10.88,0.99,47.2,36,Critical
12.83,0.34,29.4,11,Critical
12.59,0.44,25.5,92,Healthy
11.48,-0.23,44.2,82,Critical
11.23,-1.21,34.8,5,Critical
10.55,1.43,31.3,71,Critical
11.27,1.43,42.3,67,Critical
11.98,-1.5,24.1,73,Needs Attention
12.71,0.9,45.8,54,Critical
11.65,-0.15,28.6,98,Needs Attention
12.81,1.17,44.3,63,Critical
12.9,0.65,49.5,67,Critical
12.12,-1.04,25.0,70,Needs Attention
10.76,-1.17,45.0,42,Critical
12.26,-1.98,36.5,14,Critical
12.17,-1.44,40.8,88,Needs Attention
10.83,-0.01,42.3,38,Critical
12.43,0.36,44.5,46,Critical
11.77,0.88,44.3,48,Critical
12.64,-1.29,33.0,31,Needs Attention
12.73,-0.3,44.9,29,Critical
11.9,-0.28,25.9,73,Needs Attention
11.25,0.8,40.2,16,Critical
10.68,0.22,44.0,64,Critical
11.77,-1.93,25.2,95,Needs Attention
11.56,-1.74,26.9,41,Needs Attention
12.37,1.09,28.3,14,Critical
12.45,1.61,48.7,37,Critical
11.92,-1.86,43.8,61,Critical
11.6,0.89,43.6,53,Critical
10.55,0.94,41.6,70,Critical
12.6,0.08,32.6,97,Healthy
10.89,0.63,24.1,93,Critical
12.17,1.29,42.9,31,Critical
12.52,-1.22,45.2,31,Critical
11.87,1.03,48.4,69,Critical
11.56,1.05,47.3,42,Critical
11.4,-0.24,20.5,93,Critical
11.19,-0.23,39.8,20,Critical
11.8,-1.82,41.1,51,Needs Attention
10.72,0.57,28.6,24,Critical
11.86,1.88,36.6,59,Needs Attention
11.14,1.35,39.1,68,Critical
11.91,1.82,49.3,92,Critical
11.91,0.42,41.1,24,Needs Attention
12.72,-0.26,37.4,81,Needs Attention
10.77,0.62,24.9,15,Critical
12.45,-0.88,32.7,61,Healthy
12.39,1.55,29.4,35,Needs Attention
11.87,-0.5,34.7,76,Needs Attention
12.48,0.35,42.5,55,Critical
12.13,0.94,43.0,7,Critical
10.85,1.59,20.5,6,Critical
12.17,1.52,31.5,42,Needs Attention
11.75,-1.06,25.8,25,Needs Attention
11.74,0.77,45.1,48,Critical
11.24,-1.86,28.6,69,Critical
12.17,1.29,34.5,96,Needs Attention
11.47,-1.77,33.6,30,Critical
12.39,-1.16,33.6,24,Needs Attention
12.63,-1.16,25.9,27,Needs Attention
12.6,0.68,32.6,32,Needs Attention
10.99,0.58,46.5,61,Critical
12.33,-0.8,26.9,90,Healthy
12.88,-1.7,48.0,5,Critical
10.57,0.88,34.8,48,Critical
12.66,-1.14,20.3,5,Critical
10.9,-1.08,32.6,31,Critical
12.79,1.01,29.2,16,Critical
11.52,-1.97,46.6,78,Critical
10.64,1.26,29.4,54,Critical
11.98,0.89,35.8,98,Needs Attention
12.04,-0.33,36.8,93,Needs Attention
11.11,-1.44,28.1,16,Critical
12.39,-0.32,45.2,18,Critical
11.63,1.7,32.3,11,Critical
11.14,-0.89,47.6,51,Critical
11.2,-1.49,44.0,6,Critical
11.55,0.65,36.0,85,Needs Attention
12.7,0.43,42.6,78,Critical
12.48,-0.47,26.9,26,Needs Attention
11.05,0.33,42.6,81,Critical
12.61,0.27,22.4,73,Healthy
12.84,-1.25,29.6,59,Needs Attention
11.33,0.89,34.1,91,Critical
12.5,-0.98,23.1,98,Healthy
12.99,-1.07,35.3,16,Critical
11.25,0.81,48.4,15,Critical
12.35,0.39,27.3,80,Healthy
11.55,-0.34,45.3,13,Critical
11.71,1.6,44.2,51,Critical
11.05,1.64,44.6,29,Critical
12.62,-0.62,37.5,68,Needs Attention
12.66,1.55,48.2,24,Critical
12.38,-1.77,37.5,64,Needs Attention
11.15,1.25,48.9,82,Critical
10.64,0.04,26.3,70,Critical
11.4,-1.8,29.8,25,Critical
12.27,0.17,33.7,8,Critical
10.58,0.73,48.6,69,Critical
10.84,-1.5,34.2,67,Critical
12.85,1.11,42.2,78,Critical
11.2,0.55,47.0,87,Critical
12.57,1.91,40.2,34,Needs Attention
12.64,-0.36,31.5,75,Healthy
10.65,0.71,49.4,44,Critical
10.99,0.26,33.2,75,Critical
12.04,-0.09,28.8,89,Needs Attention
12.56,0.55,40.7,52,Needs Attention
11.39,1.28,47.1,56,Critical
11.79,0.9,35.2,86,Needs Attention
10.95,-1.41,37.8,11,Critical
12.16,0.76,45.0,45,Critical
11.69,-1.9,30.7,56,Needs Attention
11.74,0.1,22.4,13,Critical
10.72,-1.68,48.5,74,Critical
12.86,1.86,30.2,76,Healthy
12.11,1.16,39.9,12,Critical
10.85,0.19,21.1,63,Critical
12.75,1.77,22.5,62,Healthy
12.01,1.59,25.8,96,Needs Attention
11.15,-0.52,22.7,89,Critical
12.21,0.9,43.9,35,Critical
11.79,0.24,49.9,5,Critical
11.44,0.41,21.1,26,Critical
12.07,-0.09,39.7,55,Needs Attention
11.82,-0.07,39.0,9,Critical
10.74,-1.67,43.7,7,Critical
12.85,-0.92,21.0,27,Needs Attention
11.19,1.97,48.7,34,Critical
12.51,0.97,45.1,74,Critical
12.25,-0.65,30.6,36,Needs Attention
12.18,-0.96,38.9,70,Needs Attention
10.58,1.94,36.7,98,Critical
12.39,-0.21,30.6,37,Needs Attention
10.51,-0.04,27.0,41,Critical
10.52,-1.45,33.4,39,Critical
11.14,1.74,23.3,45,Critical
11.05,-0.55,23.7,66,Critical
11.63,-0.84,45.4,49,Critical
12.96,0.57,25.9,33,Needs Attention
12.74,0.18,43.6,100,Critical
11.58,1.92,42.5,7,Critical
12.4,0.46,24.7,24,Needs Attention
11.62,-1.18,31.3,56,Needs Attention
12.38,-1.16,31.1,36,Needs Attention
11.47,0.99,29.0,20,Critical
12.3,-1.69,25.6,72,Healthy
11.27,1.58,49.7,33,Critical
12.88,0.6,28.4,37,Needs Attention
11.88,-1.85,32.8,20,Needs Attention
10.8,-0.78,32.4,41,Critical
10.69,1.01,28.6,30,Critical
12.44,-1.15,36.6,16,Critical
11.33,1.66,32.0,10,Critical
10.5,0.17,29.2,19,Critical
12.13,1.93,49.8,95,Critical
10.91,1.37,38.1,43,Critical
12.24,1.74,29.6,39,Needs Attention
12.57,0.28,27.2,96,Healthy
12.8,1.54,28.0,11,Critical
12.79,-1.84,41.5,60,Needs Attention
12.53,-0.42,47.1,94,Critical
10.63,-0.67,26.0,71,Critical
11.86,-1.21,39.6,80,Needs Attention
10.71,-1.27,37.0,86,Critical
12.26,-0.68,43.4,80,Critical
11.88,-0.07,47.3,26,Critical
12.83,-1.23,20.1,98,Healthy
12.41,-0.92,36.6,99,Needs Attention
11.21,0.46,25.0,73,Critical
11.74,-1.76,29.8,26,Needs Attention
12.56,-1.18,28.2,25,Needs Attention
12.76,0.9,24.7,15,Critical
10.55,-1.25,49.2,64,Critical
10.73,1.98,46.7,52,Critical
11.55,-0.22,42.4,92,Critical
10.5,0.1,38.2,38,Critical
11.27,-0.9,28.2,24,Critical
11.87,-1.68,30.9,62,Needs Attention
12.07,0.88,26.6,17,Critical
11.06,1.66,22.8,34,Critical
11.36,0.56,28.3,6,Critical
10.57,0.55,35.1,100,Critical
10.7,-0.32,24.2,54,Critical
12.37,-0.69,33.2,36,Needs Attention
11.86,1.42,43.9,9,Critical
10.75,0.58,47.3,96,Critical
12.11,-1.15,34.5,94,Needs Attention
12.37,0.39,46.4,54,Critical
12.72,-0.0,47.3,38,Critical
10.73,0.32,40.3,59,Critical
12.83,-1.15,21.3,79,Healthy
11.28,1.14,41.9,32,Critical
12.92,0.54,44.1,60,Critical
12.73,-1.02,25.7,67,Healthy
11.09,-0.36,43.3,90,Critical
10.82,-1.71,46.1,35,Critical
10.59,1.63,32.0,53,Critical
10.81,-1.06,40.0,45,Critical
12.21,1.16,20.1,43,Needs Attention
11.46,-1.19,40.5,78,Critical
11.38,1.04,25.2,75,Critical
12.58,1.59,24.6,84,Healthy
12.91,-1.04,27.7,37,Needs Attention
11.25,1.4,23.0,66,Critical
10.56,-0.5,45.9,35,Critical
12.82,1.36,33.2,87,Healthy
11.1,-0.43,38.5,29,Critical
12.42,-0.41,39.8,66,Needs Attention
11.36,0.87,20.2,89,Critical
12.31,0.29,33.8,86,Healthy
12.77,1.98,42.4,27,Critical
10.86,1.99,45.1,80,Critical
10.71,-0.34,23.3,76,Critical
11.41,-0.86,38.0,72,Critical
11.77,1.85,25.0,40,Needs Attention
12.2,1.25,45.0,74,Critical
12.29,-0.0,27.2,97,Healthy
11.86,1.25,38.1,49,Needs Attention
10.87,0.32,44.5,98,Critical
12.69,-0.29,32.9,25,Needs Attention
11.02,0.35,31.2,90,Critical
11.54,-0.95,32.2,31,Needs Attention
12.08,-0.5,47.2,73,Critical
11.12,1.7,23.2,7,Critical
10.5,1.68,21.2,26,Critical
12.3,-0.09,22.4,75,Healthy
10.78,-1.55,27.8,7,Critical
12.08,-1.47,40.7,22,Needs Attention
11.99,-0.31,44.8,92,Critical
11.93,0.88,20.1,93,Needs Attention
11.98,1.26,41.9,45,Needs Attention
12.83,-1.58,49.3,42,Critical
11.99,1.39,26.1,21,Needs Attention
11.77,0.76,46.1,42,Critical
11.52,-0.93,36.0,94,Needs Attention
12.03,0.81,42.7,9,Critical
10.66,0.0,40.2,71,Critical
11.71,1.79,40.1,46,Needs Attention
10.52,-0.38,37.7,59,Critical
11.8,0.46,36.6,5,Critical
11.46,1.66,23.9,32,Critical
12.56,-0.42,38.8,6,Critical
12.5,-1.36,21.4,28,Needs Attention
12.6,0.51,36.6,85,Needs Attention
11.38,-0.51,36.8,84,Critical
10.78,0.01,26.8,21,Critical
12.52,0.24,48.1,27,Critical
11.59,-0.09,25.1,40,Needs Attention
11.61,0.03,48.5,36,Critical
11.77,-1.76,32.3,23,Needs Attention
11.42,1.54,32.4,54,Critical
11.55,1.18,40.4,49,Needs Attention
12.05,0.13,25.1,69,Needs Attention
11.19,1.7,32.5,17,Critical
12.53,-0.41,27.7,37,Needs Attention
12.77,0.95,36.3,70,Needs Attention
12.32,-0.32,43.4,97,Critical
11.39,-1.1,48.5,51,Critical
12.21,1.01,48.5,63,Critical
11.59,-1.34,24.3,43,Needs Attention
11.23,-1.59,47.6,54,Critical
12.08,-0.53,39.4,28,Needs Attention
12.35,0.83,48.1,31,Critical
10.66,-1.8,34.9,24,Critical
12.17,-1.09,40.9,9,Critical
12.15,1.3,28.9,25,Needs Attention
12.51,1.01,24.4,15,Critical
12.92,-0.0,45.3,72,Critical
11.75,0.36,34.0,45,Needs Attention
11.22,1.58,26.8,45,Critical
11.66,0.36,35.3,45,Needs Attention
11.32,0.03,43.6,97,Critical
11.83,-1.1,43.2,60,Critical
11.58,0.54,27.6,8,Critical
12.49,0.99,23.7,68,Healthy
11.75,1.91,27.8,69,Needs Attention
11.2,0.35,29.3,27,Critical
11.17,1.41,29.0,11,Critical
